year,hires,terminations,net_change,net_change_percent
2000,211,211,0,0.00
2001,1082,1082,0,0.00
2002,1012,1010,2,0.20
2003,1088,1077,11,1.01
2004,1087,1070,17,1.56
2005,1038,1004,34,3.28
2006,1069,1022,47,4.40
2007,1058,1015,43,4.06
2008,1061,1011,50,4.71
2009,1094,1040,54,4.94
2010,1050,971,79,7.52
2011,1057,983,74,7.00
2012,1059,969,90,8.50
2013,1042,948,94,9.02
2014,1014,924,90,8.88
2015,1011,891,120,11.87
2016,1076,944,132,12.27
2017,1043,910,133,12.75
2018,1090,955,135,12.39
2019,1038,880,158,15.22
2020,967,823,144,14.89
